tweetId|text|dayOfTweet|hashtag|language|compound|translated
473002571552940032|FREELANCE CONTRIBUTOR / WRITER SPECIALIST AW - Ampersand World: ( , Geneva)|2014-06-01|#job|fr|0.4466|yes
502347460187275264|"Relationship goals 502347495452966912|437785025|2014-08-21 06:52:30|J'aime pas les bus a la campagne, enfin plutôt les horaires... C'est de la grosse merde 502347504168730625|948610765|2014-08-21 06:52:32|@weltsichtig Nichts wirklich Neues, würde Klaus Theweleit sagen. 502347525920407552|589060207|2014-08-21 06:52:38|@sophieleaah Guten Morgen ، Schönes Bild 502347536389394432|122170760|2014-08-21 06:52:40|@pr_swiss Bleiben wir bei den bestätigten Fakten. Geri spielt gerne seine Spielchen und jetzt hat er verspielt. Besser so! 502347548234096641|541668935|2014-08-21 06:52:43|La mythomanie c'est une maladie 502347566701617152|23319279|2014-08-21 06:52:47|Good Morning ✨ 502347638206124032|624668875|2014-08-21 06:53:04|@fragstone Die aktuellen Fahrpläne der ^sim 502347656317140992|2389310969|2014-08-21 06:53:09|Wsh pq jsuis déjà levée 502347686742609920|541668935|2014-08-21 06:53:16|Mdrr ça me fait rire, plus aucune crédibilité 502347708305514496|210775901|2014-08-21 06:53:21|#FrançoisHollande aussi a relevé le mais c'est l'#INSEE qui lui a fait prendre la douche froide. ça compte ? 502347850114936832|2409081446|2014-08-21 06:53:55|buongiorno 502347930649387008|794723263|2014-08-21 06:54:14|Buongiorno Bormio Valtellina 502347988875116544|407134798|2014-08-21 06:54:28|@cocinabienestar ..que rica! 502348110145011712|122170760|2014-08-21 06:54:57|@nicodrec Und dies kann man nun glauben? 502348133998026752|1015313318|2014-08-21 06:55:02|Je vais au fitness avec Éva mais là le matin j'ai pas de motivation 502348164595449856|133242544|2014-08-21 06:55:10|@SciF0r hast du ausprobiert was geschieht, wenn du dich falsch einreihst? 502348181888565248|1901140405|2014-08-21 06:55:14| 502348223739355137|1048884422|2014-08-21 06:55:24|J'ai beaucoup de mal ce matin 502348355213983744|1146542304|2014-08-21 06:55:55|E finalmente, inaspettatamente, il sole! 502348361740324864|2623|2014-08-21 06:55:57|“Seit dem elektronischen Datenverkehr läuft vieles falsch in Deutschland.” 502348367960473600|2652442448|2014-08-21 06:55:58|La semaine pro jfait mon défrisage après mais natte 502348436117942273|1048884422|2014-08-21 06:56:15|2 jours et j'ai fini ! 502348480099414018|71528370|2014-08-21 06:56:25|PM: TCS-Ratgeber: Mobil bleiben trotz körperlichen Einschränkungen (BILD) 502348592028585984|1876639452|2014-08-21 06:56:52|اصبحنا و اصبح الملك لله 502348600756928514|407594900|2014-08-21 06:56:54|@ishigo974 avance avec ton mauvais août septembre sera meilleur!! Ohhhh la réponse nulle lol 502348650383958017|1730951070|2014-08-21 06:57:06|I'm fucked. 502348674794795008|22563391|2014-08-21 06:57:11|como from bedroom 502348717455056896|1975631605|2014-08-21 06:57:22|Une chose est sûre, je vais passer un putain d'anniversaire 502348782496120832|2652442448|2014-08-21 06:57:37|Les gens qui ce connaissent que 2 jours après sa dit bad pote tshhhhp niker vous vraiment 502348851366199296|106714817|2014-08-21 06:57:54|A day in for the from my father shot with 502348855737077760|2303634963|2014-08-21 06:57:55|@brualves08 vai dormi mulher rs ' 502348858454986752|2652442448|2014-08-21 06:57:55|En pls virtuel ah naaaaan 502348932090179584|407594900|2014-08-21 06:58:13|@renaudjay gardez le soleil on arrive!!!! 502348960351408129|594746481|2014-08-21 06:58:20|لبى صباحي البارد الانترلاكني 502348963589406720|184388793|2014-08-21 06:58:20|Uykum vaaar 502348994140721152|423445907|2014-08-21 06:58:28|#europe 502349015967891456|2303634963|2014-08-21 06:58:33|@brualves08 Aeee :) 502349049069338624|2623|2014-08-21 06:58:41|@klicktrend danke. :) 502349057122398208|1146542304|2014-08-21 06:58:43|MT Sta per arrivare la prima bici elettrica Ikea &gt; fratello (@giomol) questa potrebbe interessarti!"|2014-08-21|#travel|fr|-0.728|yes
494758671323529216|"Klaar voor dagje canyoningen met Mo, we're gonna die 494758685831606272|15095995|2014-07-31 08:17:17|@6000 or... evolution by natural selection in play! 494758720904376320|882050376|2014-07-31 08:17:25|If I didnt get the chance to go to that comic book store I'm gonna kill myself 494758734590406656|965362218|2014-07-31 08:17:29|#infinito 494758743994040320|127073029|2014-07-31 08:17:31|Доброе утро всем!!! Пусть этот день принесет побольше улыбок... 494758831290060800|66753701|2014-07-31 08:17:52|Ate this last night. 494758871966445568|625542426|2014-07-31 08:18:01|Hard 2nd stage coming up today at tour alsace. Hope legs are ok from yesterdays wet stage. 494758917017444352|1436558317|2014-07-31 08:18:12|Aujourd'hui même si il fait pas beau il fait chaud alors je sort la robe 494758952341880832|1436558317|2014-07-31 08:18:21|C'est choquant venant de moi 494759000836440065|703782056|2014-07-31 08:18:32|Je connais tjrs pas le mot vacances avec ce boulot, mais se soir je pourrais enfin dire, je suis en vacances 494759007945752577|2155061531|2014-07-31 08:18:34|@elissakh il faut acheté la copie originale comme ça notre star peu avoir WMW basse sur de chiffre rotana 494759021526908928|835887554|2014-07-31 08:18:37|Ok plus que 65 photos dont 19 vont rester. 494759057535041536|703934840|2014-07-31 08:18:46|Gushi 494759090451931136|835887554|2014-07-31 08:18:54|Ma vie est passionnante t’as vu? 494759121359753216|197300559|2014-07-31 08:19:01|Excessive security screening &amp; constant checking all through my bag &amp; telling me that it was random at the airport is frustrating. 494759128888520704|146337393|2014-07-31 08:19:03|@danta Sieht es am Schluss so aus? 494759131723882497|458170952|2014-07-31 08:19:03|@dialogine Ich bin durchgefallen. Bin am Packen. 494759136618631168|1092514914|2014-07-31 08:19:05|Freuen uns über die Interviewzusagen: Starchirurg Thierry Carrel, Glamourkönig Claudio Righetti und Frau Dr. Dina Maria Jakob im Tschad. 494759150841499648|42781620|2014-07-31 08:19:08|#ch Jesuitenkirche 494759162887536641|478029205|2014-07-31 08:19:11|Conferenza Stampa Indagine Mercato Lavoro : la componente dei lavoratori esteri. 494759169439064064|2281902447|2014-07-31 08:19:12|Cazzo che mal di pancia 494759181703200768|1601481530|2014-07-31 08:19:15|Jai un pote qui a un grave probleme au pancreas et il peut plus boire autant alcool, pour compenser son addiction il va fumer beu sur beu 494759193342377984|1488684817|2014-07-31 08:19:18|Buongiorno TL finalmente il sole 494759193489195008|1092345793|2014-07-31 08:19:18|Mais un jour je vais tellement m'énerver avec mes cheveux que je risque de tout raser 494759241035816960|1864868864|2014-07-31 08:19:29|لسة موضوع النافورة تاعب مخكم !!! دا العيد القومي بتاع .....،. والبلد تزينت والالعاب النارية طول الليل 494759247369236481|1223207238|2014-07-31 08:19:31|zain is vain directioners 494759274003066881|39010166|2014-07-31 08:19:37|Happy birthday Switzerland! 494759290633474048|19202175|2014-07-31 08:19:41|Meetings - the whole day long! (@ Kaba AG) 494759305540014080|882050376|2014-07-31 08:19:45|Shakiraaaa 494759319599321088|1092345793|2014-07-31 08:19:48|Ils sont chiants j'en ai marre 494759327585280000|180157454|2014-07-31 08:19:50|Buen día 494759355062190081|737906336|2014-07-31 08:19:57|Basel is ready for are you? myswitzerland_e 1000switzerland Basel… 494759357843009536|25507779|2014-07-31 08:19:57|...ein bisschen den Ball im Kreis laufen lassen im Stadion von Brunnen am Vierwaldstätter See 494759382501298176|990879859|2014-07-31 08:20:03|#Np livin'la vida loca &gt;&gt; Nuno Resende 494759407797149696|1116425226|2014-07-31 08:20:09|La dolce dissolvenza della complicita... 494759461312299008|965733067|2014-07-31 08:20:22|@currananderson4 banjo banjo 494759503557320704|965733067|2014-07-31 08:20:32|@currananderson4 !!!! 494759510742159360|835887554|2014-07-31 08:20:34|En fait je garde seulement celles qui ont plus de 11 likes ou sur lesquelles y a beaucoup de commentaires. 494759540966322176|634180995|2014-07-31 08:20:41|@marcygor1 pas trop et toi? 494759582569201664|42781620|2014-07-31 08:20:51|#switzerland Luzerner Seepromenade 494759583802728448|84276205|2014-07-31 08:20:51|Just seen a player give his friend a club on the range and ask him if he can test it as it always goes left and the club is faulty 494759594254929920|2266714955|2014-07-31 08:20:54|@eskn__ Günaydın dost,.. 494759613062201344|835887554|2014-07-31 08:20:58|Comme ça les gens qui s’abonneront ils croiront que j’ai une vie sociale active 494759644834054144|835887554|2014-07-31 08:21:06|Lol les cons 494759750689894400|965733067|2014-07-31 08:21:31|oh kewl 494759761649631233|1092345793|2014-07-31 08:21:34|Je commence bien la journée va falloir que je reste calme 494759762622685184|703934840|2014-07-31 08:21:34|Hm 494759772970037249|197300559|2014-07-31 08:21:36|I constantly get religiously discriminated against due to my name &amp; its extremely unfair. 494759796986626048|1732497800|2014-07-31 08:21:42|Stanotte ho sognato che avevo il debito di Storia. Mi sono svegliata col cuore in gola. 494759826602606592|2231881902|2014-07-31 08:21:49|@adfichter sooo schön. 494759837839159296|261714097|2014-07-31 08:21:52|@LDN_Muscle been banned from the gym until September because of pneumonia!! Need to get this bikini guide underway though 494759891274584064|577409437|2014-07-31 08:22:04|@espineon done xx 494759980156080129|22256122|2014-07-31 08:22:26|@lucyrm18 So excited 494760001979023360|211943433|2014-07-31 08:22:31|I'm at Bahnhof Interlaken West (Interlaken, Switerland) 494760073563226112|703934840|2014-07-31 08:22:48|Hier j'ai eu une chatounette de fouuuu 494760123932622848|1546116511|2014-07-31 08:23:00|Bon vas-y jai la dalle j'me lève 494760144023355392|197300559|2014-07-31 08:23:05|Im a law abiding, tax paying citizen of the USA &amp; i do not deserve to be treated like this. Its a shame. 494760158468521984|2291099647|2014-07-31 08:23:08|Alle guten Dinge sind billig, alle schlechten teuer. 494760220443557888|1644688724|2014-07-31 08:23:23|Cette conversation a décidément perdu tt sens logique,le fond d'écran,Arthur qui dort,Jiji 494760229100597248|990879859|2014-07-31 08:23:25|#Np la solitudine &gt;&gt; Nyco Lilliu 494760243654819840|2519482271|2014-07-31 08:23:28|@asyoudrowned oh c'est cool en espérant que tu es le beau temps ! Montreux c'est le top ! Vraiment très beau ! Mais quand il fait beau lol 494760323048812544|1601783233|2014-07-31 08:23:47|Se stamattina non arrivano le scarpe che ho ordinato su internet sarò triste per sempre 494760340601991168|474218359|2014-07-31 08:23:52|@Penseesbyolivia Courage!!! 494760343349239808|2695154485|2014-07-31 08:23:52|#fragili 494760349095428096|965733067|2014-07-31 08:23:54|how come no Americans are answering their phones except Mary &amp; Robert. What are y'all doin? 494760381513207808|2242618151|2014-07-31 08:24:01|“@Ca__Menerve: Ça m'énerve quand je présente deux personnes et qu'elles finissent par devenir plus amis entre elles qu'avec moi.” 494760383119626240|1836086186|2014-07-31 08:24:02|Ia por a montagem que tenho com a vaca da Rita mas fiquei sem bateria no iPad 494760385648816128|99346629|2014-07-31 08:24:02|@philiplindau Njuta!!? 494760470944153600|60023533|2014-07-31 08:24:23|Snowboarding cheers me up too much 494760473590759424|358825849|2014-07-31 08:24:23|http://t.co/1TV0OviMG0 494760475218149376|237035454|2014-07-31 08:24:24|Bir insanın ölümünü bile kendilerine reklam malzemesi yapıyorlar 494760480188403712|1092345793|2014-07-31 08:24:25|Ah du soleil 494760488841277440|44165599|2014-07-31 08:24:27|#4G aiguille du midi 494760507380092928|359407647|2014-07-31 08:24:31|@oivitamia il primo e più interessato a leggersi l'articolo sarebbe dovuto essere questo è il problema... 494760526778753024|2519482271|2014-07-31 08:24:36|#NW !! Franchement mémé elle soûl avec Thomas !! 494760527252717568|1116425226|2014-07-31 08:24:36|Baby kyss my 494760546114498560|379891136|2014-07-31 08:24:41|Was seh ich da? Die Sonne und blauen Himmel. Dachte die wären im Urlaub! 494760562539388928|474218359|2014-07-31 08:24:44|@DaddyTheBeat L'avantage avec Les réseaux sociaux c'est qu'on peut facilement les ignorés 494760598392299520|1122591542|2014-07-31 08:24:53|@PrimetimeFUT 494760612187369473|2728567066|2014-07-31 08:24:56|Arcus cloud chasing in France 28/06/2014 494760650280026112|474218359|2014-07-31 08:25:05|@DaddyTheBeat De visu, c'est carrément moins évident 494760667086585856|806898756|2014-07-31 08:25:09|la famille savent que je connais robin c'est bien non? 494760691266760705|2172193143|2014-07-31 08:25:15|Chacun ses problèmes 494760707091865601|1116425226|2014-07-31 08:25:19|@sandybat1 Buon giorno care 494760707427414016|2262986869|2014-07-31 08:25:19|Même en montagne je m'habille bien et je me maquille, je peux pas m'empêcher, je sais x) 494760744257200128|411108747|2014-07-31 08:25:28|Recharging batteries • Good morning IGers! Othmar's Skihütte 494760795281301505|2262182884|2014-07-31 08:25:40|Ech ha fom brönnende Pier z Eastbounre tröimt 494760801686003712|458170952|2014-07-31 08:25:41|@leonis5908 Danke schön. 494760806291361792|235143142|2014-07-31 08:25:43|Finally the sun appears. lido bissone 494760812717023232|2647999330|2014-07-31 08:25:44|And not done anything... Quietly! 494760878471135232|2555413688|2014-07-31 08:26:00|Gm 494760897488121856|29430823|2014-07-31 08:26:04|Stellenangebot: Webentwickler in (Fest) → 494760920493858816|218651409|2014-07-31 08:26:10|#Für alle die Mir in den Rücken gefallen sind.......Ich scheiss auf Euch# 494760930807664640|18335506|2014-07-31 08:26:12|Today's Col was a lot easier. Col Du Marais 494760944992784384|1910724325|2014-07-31 08:26:16|Une belle sélection de paper art ! 494760958766891010|1092345793|2014-07-31 08:26:19|En plus je loupe le bus maintenant je dois attendre 10 minutes 494760978438160384|426481763|2014-07-31 08:26:24|@silviaromano95 494760997610323969|835887554|2014-07-31 08:26:28|VOILÀ ENFIN FINIS 494761014324629505|2555413688|2014-07-31 08:26:32|@hadeelalh_ 494761017042567168|2262986869|2014-07-31 08:26:33|@fleur_daemon elle connait la connasse qui est en moi 494761019198423040|703934840|2014-07-31 08:26:33|Encore 3j 494761060818100224|213226995|2014-07-31 08:26:43|Good morning ☀️☕️#tanning Switzerland 494761134730522624|60023533|2014-07-31 08:27:01|Clear blue skies today in Cervinia! 494761140980047872|1635246277|2014-07-31 08:27:02|E tra 4 ore si parte! 494761159166554112|1124652192|2014-07-31 08:27:07|J'vais m'recoucher 494761174668705794|272701169|2014-07-31 08:27:10|Si è addormentata all'ultimo campo, quello a 7.800, pronta per l'assalto finale alla vetta casa scud… 494761216993411072|2555413688|2014-07-31 08:27:21|@habany44x 494761222945120256|579742883|2014-07-31 08:27:22|Il non può non legarsi alla e all'#obbedienza Don Stefano 494761245799878656|990879859|2014-07-31 08:27:27|Mtn je vais écouter Black m 494761255207727104|2160659287|2014-07-31 08:27:30|Y a pas dire les Français côté série policière ils sont nul. Les Américains sont meilleurs ! 494761263516631041|386016853|2014-07-31 08:27:32|صباااااح الخير ♡ 494761286262337537|633996428|2014-07-31 08:27:37|@flavio_viglezio ahahah....scherzavo... speriamo di non farlo noi lo spareggio... No HCL quest'anno è forte se Hirschi e Julien non KO 494761300044820480|234484563|2014-07-31 08:27:40|@mohmdAlhumidi عن اي خيانة تقصد فالخيانة تمت وانتهت من اكثر من ٥٠ عام والكل شارك فيها من مسلمين وعرب 494761304486576128|2291099647|2014-07-31 08:27:41|Absicht ist die Seele der Tat. 494761314854907905|407546065|2014-07-31 08:27:44|En vérité j'ai trop mal dodo 494761339542593536|43085761|2014-07-31 08:27:50|@schatelet c'est clair moi je vote pour le blindfold"" programming!"|2014-07-31|#suisse|en|-0.8994|yes
467636648923000833|(#sportbar) Time Out Sportsbar|2014-05-17|#selfie|en|0.0|yes
466987921414029312|mes potes m'insultent violent depuis que City est champion|2014-05-15|#lt|fr|-0.0516|yes
446246804167073792|Le est au rdv, fini les et go sortir la|2014-03-19|#ski|fr|0.0|yes
528348636208693248|J'viens de marquer au bout de 34 secondes de jeu|2014-11-01|#fifa15|fr|0.0|yes
429635753694728192|Bonde do picolé!! Grotte Schönried|2014-02-01|#switzerland|en|0.0|yes
430078699971821568|"Je viens seulement de capter que c'est Willow Smith la petite dans ""Je Suis Une Légende"" haha"|2014-02-02|#tf1|fr|0.4588|yes
473540689746493440|Scorci d'Italia|2014-06-02|#italy|fr|0.0|yes
