tweetId|text|dayOfTweet|hashtag|language|compound|translated
14993483672|ah, jetzt schaust du also auch?|2010-05-29|#esc|de|0.4101|yes
14993666443|außer Lena gefällt mir auch nichts, ist aber witzig und unterhaltsam!|2010-05-29|#esc|de|0.8145|yes
14993805773|Die waren doch mal cool!|2010-05-29|#esc|de|0.3802|yes
14996376751|Jetzt kommt viermal ein cooles Lied!|2010-05-29|#esc|de|0.3802|yes
14997113097|Ich hab die Haare schön!|2010-05-29|#esc|de|0.4753|yes
14997636539|Ich! 360l wer bietet mehr? RT RT Wenn Schweiz 12 Punkte kriegt,...party mit 120 l Freibier|2010-05-29|#esc|de|0.5562|yes
14997777203|Yeah, Vincent Raven singt für Dänemark!|2010-05-29|#esc|de|0.3595|yes
14998443521|am kann ich mir das erlauben: ein paar neue follower für bitte RT|2010-05-29|#esc|de|0.4939|yes
14998507076|Wie viele sich wohl diesen reinziehn, nur damit sie ihre timeline verstehen?|2010-05-29|#esc|de|0.2732|yes
14998886242|Hören würde ich nix davon nochmals freiwillig. Habe für die besten Brüste gestimmt|2010-05-29|#esc|de|0.6369|yes
15000055745|Hmm, hab ich was nicht mitbekommen? Seit wann mag man uns in Europa? ;)|2010-05-29|#esc|de|0.3736|yes
15000068531|nee nee nee, die geht gaar nich!|2010-05-29|#esc|de|-0.3595|yes
15001059590|Juhu! Freibier bei|2010-05-29|#esc|de|0.7901|yes
15001131915|Aber die 8 und 10 Punkte waren peinlich!!|2010-05-29|#esc|de|-0.4912|yes
15001583105|Hätte ich nicht gedacht! Cool Lena!|2010-05-29|#esc|de|-0.3707|yes
15003776246|ok, jetzt muss ivh 360l Bier auftreiben! Juhu|2010-05-29|#esc|de|0.7088|yes
26617776243|Krass der Tod von Steve Lee. Erst jetzt gelesen.|2010-10-07|#gotthard|de|-0.5994|yes
26626125144|Hallo Mitarbeiterumfragenschreiber: Habt ihr das Gefühl, das Resultat wiederspiegelt nur annährend etwas?|2010-10-07|#fb|de|0.128|yes
26626326496|Nachdem ich ein 15000 Textfile stundenlang sortiert habe steht fest: Ich lerne Regular Expressions....|2010-10-07|#fb|de|0.0|yes
26634186897|I think I'm going to wait for kids to go back in their classrooms before having lunch at my favorite bench … that's around 13:30 right?|2010-10-07|#fb|en|0.4588|yes
26636991250|Hab mir den kleinen Zehen gestossen, ist wohl für ne Weile mit Joggen und Biken :-(|2010-10-07|#fb|de|-0.3612|yes
26644610965|Hab ich es schon erwähnt? Documentum DCM kann ich nicht ernst nehmen :-(|2010-10-07|#fb|de|-0.2458|yes
26655657242|A short but funny (for IT guys) vmware ad|2010-10-07|#fb|en|0.5927|yes
26678873340|Brand new badminton racket and shoes. Ready to fight tomorrow night. (@ Centre Commercial Balexert)|2010-10-07|#fb|en|-0.0258|yes
27414965262|Wer konnte 1992 ahnen, dass der Durchstich bloss als Ablenkungsmanöver bezüglich Causa und geplant war?|2010-10-15|#gotthard|de|-0.3818|yes
27415076405|Ob man dem Moritz wohl auch eine Brille von Oakley verpasst hat?|2010-10-15|#gotthard|de|-0.296|yes
27424570365|Mon de la semaine: pour des news de voyages, des concours et des billets bien sympa!|2010-10-15|#ff|fr|0.4753|yes
27425550852|Bisphenol A im Neuenburger Trinkwasser: Unbedenklichkeitserklärung der Behörden stützt sich auf Industriegremium|2010-10-15|#fb|de|-0.296|yes
27426023184|mon vieux iBook G4 partira aux USA avec moi… le pauvre, je ne sais plus s'il devrait faire des tels déplacements, mais là on es obligés!|2010-10-15|#fb|fr|-0.7463|yes
27432906499|merci pour le :)|2010-10-15|#ff|fr|0.7096|yes
27433004853|- ein neuer Trend liegt in der Luft: Signalwesten + Helm|2010-10-15|#gotthard|de|0.0|yes
27433004853|- ein neuer Trend liegt in der Luft: Signalwesten + Helm|2010-10-15|#fb|de|0.0|yes
27435052577|"dieser Moderator ist einfach zu doof ""was bedüte jetzt die Riss do?"" Das ist ein bevorstehender Durchbruch, du Dottel."|2010-10-15|#gotthard|de|-0.5267|yes
27435161099|Ui.. ich will auch so eine Bohrmaschine!!!|2010-10-15|#gotthard|de|0.2905|yes
27435189656|14:18, wir sind durch!|2010-10-15|#gotthard|de|0.0|yes
27435325974|Dieser Bohrer erinnert mich irgendwie an Event Horizon!|2010-10-15|#gotthard|de|0.0|yes
27435491531|SF1 am Limit. Scheiss viele Mikrofone im Einsatz.|2010-10-15|#gotthard|de|-0.5574|yes
27435491531|SF1 am Limit. Scheiss viele Mikrofone im Einsatz.|2010-10-15|#fb|de|-0.5574|yes
27435812262|Mo Leuenberger hat Pipi in den Augen|2010-10-15|#gotthard|de|0.0|yes
27438416374|jetzt haben wir den längsten!|2010-10-15|#gotthard|de|0.0|yes
27439640805|London 2012 Olympic Games ticket prices revealed: [pdf] Qui serait chaud pour aller voir la finale H de tennis?|2010-10-15|#fb|fr|0.0|yes
27460248837|how long until I'm ready for this trip? I still have to prepare a couple of screenshots for my slides…at least now I have clean clothes!|2010-10-15|#fb|en|0.6696|yes
27466237215|en sortant le compost de sa corbeille j'ai eu peur que le petit sac biodégradable ait déjà commencé à pourrir, lui aussi … [=oP]|2010-10-15|#fb|fr|0.0|yes
27909071596|Bin ich auch ein TEDster wenn die heut vorbei ist?|2010-10-20|#tedxzh|de|0.0|yes
27909073455|Jihaa - los geht's. (@ TEDxZurich 2010 w/|2010-10-20|#tedxzh|en|0.0|yes
27910858785|das Social Experiment zeigt, dass nur einer Person das leben wichtiger ist als die die ist rausgegangen|2010-10-20|#tedxzh|de|0.2716|yes
27910929188|dep design. / CAST is here! (@ TEDxZurich 2010 w/|2010-10-20|#tedxzh|en|0.0|yes
